Transaction Code,Transaction Description,Transaction Category,Posting date,Transaction Date,Merchant Info DBA Name,Transaction Amount,Debit or Credit,Merchant Category Code,Merchant City,Merchant Country,Merchant Postal,Merchant State,Conversion Rate
3001,LOVE'S TRAVEL STOP 482 OKLAHOMA CITY OK,100,2026-01-03,2026-01-02,LOVE'S TRAVEL STOP 482,421.37,Debit,5542,OKLAHOMA CITY,USA,73101,OK,1.38
3001,LOVE'S TRAVEL STOP 482 OKLAHOMA CITY OK,100,2026-01-03,2026-01-02,LOVE'S TRAVEL STOP 482,421.37,Debit,5542,OKLAHOMA CITY,USA,73101,OK,1.38
3001,PILOT TRAVEL CENTER 221 LAREDO TX,100,2026-01-04,2026-01-04,PILOT TRAVEL CENTER 221,318.74,Debit,5542,LAREDO,USA,78040,TX,1.38
3001,FLYING J 736 KNOXVILLE TN,100,2026-01-05,2026-01-05,FLYING J 736,286.42,Debit,5542,KNOXVILLE,USA,37901,TN,1.38
3001,FLEET FUEL CARD CALGARY AB,100,2026-01-06,2026-01-06,FLEET FUEL CARD,512.90,Debit,5541,CALGARY,CAN,T2P,AB,0
3001,STATE PERMIT OFFICE MONTANA MT,200,2026-01-07,2026-01-07,STATE PERMIT OFFICE,28.50,Debit,9399,HELENA,USA,59601,MT,1.38
3001,STATE PERMIT OFFICE MONTANA MT,200,2026-01-07,2026-01-07,STATE PERMIT OFFICE,28.50,Debit,9399,HELENA,USA,59601,MT,1.38
3001,BRIDGE TOLL AUTHORITY DETROIT MI,200,2026-01-08,2026-01-08,BRIDGE TOLL AUTHORITY,18.75,Debit,4784,DETROIT,USA,48201,MI,1.38
3001,BRIDGE TOLL AUTHORITY DETROIT MI,200,2026-01-08,2026-01-08,BRIDGE TOLL AUTHORITY,18.75,Debit,4784,DETROIT,USA,48201,MI,1.38
3001,WEIGH SCALE SERVICE BUFFALO NY,200,2026-01-09,2026-01-09,WEIGH SCALE SERVICE,16.25,Debit,4784,BUFFALO,USA,14201,NY,1.38
3001,TRUCK WASH DEPOT WINNIPEG MB,300,2026-01-10,2026-01-10,TRUCK WASH DEPOT,64.20,Debit,7542,WINNIPEG,CAN,R3C,MB,0
3001,TRUCK WASH DEPOT WINNIPEG MB,300,2026-01-10,2026-01-10,TRUCK WASH DEPOT,64.20,Debit,7542,WINNIPEG,CAN,R3C,MB,0
3001,NORTH AUTO PARTS REGINA SK,400,2026-01-11,2026-01-11,NORTH AUTO PARTS,238.15,Debit,5533,REGINA,CAN,S4P,SK,0
3001,NORTH AUTO PARTS REGINA SK,400,2026-01-12,2026-01-12,NORTH AUTO PARTS,47.80,Debit,5533,REGINA,CAN,S4P,SK,0
